,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
309,PNB,EQ,07-08-2018,90.05,90.25,91.55,82.5,82.9,82.85,87.22,139040553,12126988013,329206,19446190,13.99,8,2018,124.7568978,-0.07995558,Slight or no chnage
310,PNB,EQ,08-08-2018,82.85,83.45,83.6,80.05,80.35,80.45,82.03,60658357,4975890436,141190,14160574,23.34,8,2018,124.3946967,-0.028968014,Slight or no chnage
311,PNB,EQ,09-08-2018,80.45,81.7,83.85,81.15,83.5,83.4,82.75,45391038,3755985205,109015,8356049,18.41,8,2018,124.1454456,0.036668738,Slight or no chnage
312,PNB,EQ,10-08-2018,83.4,83.95,84.75,82.6,83,83.25,83.71,51034567,4272181692,92040,14642015,28.69,8,2018,123.8677814,-0.001798561,Slight or no chnage
313,PNB,EQ,13-08-2018,83.25,82.5,82.65,79.6,80.7,80.4,81.44,30972235,2522341697,68763,6426000,20.75,8,2018,123.6894061,-0.034234234,Slight or no chnage
314,PNB,EQ,14-08-2018,80.4,81,81.85,79.5,79.75,79.9,80.55,20667786,1664766427,55210,4757930,23.02,8,2018,123.5698229,-0.006218905,Slight or no chnage
315,PNB,EQ,16-08-2018,79.9,79.15,82.75,78.65,82.05,81.55,81.34,39893139,3244824496,81680,8174841,20.49,8,2018,123.3494916,0.020650814,Slight or no chnage
316,PNB,EQ,17-08-2018,81.55,82.5,83.9,82.3,83.45,83.45,83.12,25610532,2128635767,53994,6210993,24.25,8,2018,123.2156317,0.02329859,Slight or no chnage
317,PNB,EQ,20-08-2018,83.45,84,84.9,82.8,83.65,84.2,83.84,25753772,2159280385,59336,7309026,28.38,8,2018,123.0844476,0.008987418,Slight or no chnage
318,PNB,EQ,21-08-2018,84.2,84.25,84.9,83.25,83.6,83.65,83.92,16719748,1403039381,35553,3447729,20.62,8,2018,122.9985541,-0.006532067,Slight or no chnage
319,PNB,EQ,23-08-2018,83.65,83.7,85.95,82,85.85,84.5,83.37,26998678,2250869913,55345,4851858,17.97,8,2018,122.8636216,0.010161387,Slight or no chnage
320,PNB,EQ,24-08-2018,84.5,85.2,87.9,85.05,85.6,85.8,86.47,62911086,5439638100,165987,13279769,21.11,8,2018,122.5633789,0.015384615,Slight or no chnage
321,PNB,EQ,27-08-2018,85.8,86.5,87.15,85,85.1,85.25,86.2,25336814,2184025064,61724,4881685,19.27,8,2018,122.4420402,-0.006410256,Slight or no chnage
322,PNB,EQ,28-08-2018,85.25,85.5,85.8,82.5,82.9,82.9,83.64,24887374,2081488106,58392,3856414,15.5,8,2018,122.3161372,-0.027565982,Slight or no chnage
323,PNB,EQ,29-08-2018,82.9,83.4,84.8,82.9,83.9,84.15,84.02,23031862,1935049838,50819,4538988,19.71,8,2018,122.2040058,0.015078408,Slight or no chnage
324,PNB,EQ,30-08-2018,84.15,84.1,85.9,83.6,84.75,85.1,84.94,40695329,3456821782,74684,10712023,26.32,8,2018,122.0123876,0.011289364,Slight or no chnage
